restaurant,item,food_type,meat,addition,calories,cal_fat,total_fat,sat_fat,trans_fat,cholesterol,sodium,total_carb,fiber,sugar,protein,vit_a,vit_c,calcium,salad
Arbys,Roast Turkey & Swiss Sandwich,sandwich,turkey,none,710,260,28,7,0,65,1930,79,5,15,38,20,10,45,Other
Arbys,Roast Turkey & Swiss Wrap,sandwich,turkey,none,520,240,27,9,0,65,1640,39,4,6,30,20,10,35,Other
Arbys,"Roast Turkey, Ranch & Bacon Sandwich",sandwich,turkey,bacon,800,310,34,10,0.5,80,2420,79,5,16,45,20,10,45,Other
Arbys,"Roast Turkey, Ranch & Bacon Wrap",sandwich,turkey,bacon,620,310,34,11,0.5,85,2130,39,4,6,37,20,10,30,Other
Arbys,Smoke Mountain w/ Beef Short Rib,sandwich,beef,none,740,320,35,13,1,125,2050,62,4,17,43,NA,NA,NA,Other
Arbys,Smokehouse Beef Short Rib Sandwich,sandwich,beef,none,590,250,59,10,1,75,1510,59,4,14,26,NA,NA,NA,Other
Arbys,Smokehouse Brisket,sandwich,beef,none,600,310,35,12,1,110,1240,42,2,7,33,4,8,20,Other
Arbys,Super Roast Beef,sandwich,beef,none,430,160,17,5,1,45,1060,45,3,11,23,10,10,8,Other
Arbys,Three Cheese Steak Sandwich,sandwich,beef,none,650,320,36,15,1,115,1760,44,2,9,30,NA,NA,NA,Other
Arbys,Triple Decker Sandwich,sandwich,other,none,1030,459,51,17,1,155,2940,83,5,19,62,NA,NA,NA,Other
Arbys,Turkey Avocado Club,sandwich,turkey,none,730,252,28,6,0,65,2140,80,6,16,41,NA,NA,NA,Other
Arbys,Turkey Gyro,other,turkey,none,470,180,20,3.5,0,45,1520,48,3,5,25,10,15,10,Other
Arbys,Ultimate BLT,other,other,none,980,495,55,14,0,85,2130,80,6,19,43,NA,NA,NA,Other
Arbys,Buffalo Chicken Slider,other,chicken,none,290,120,13,2,0,20,860,31,2,2,12,NA,NA,NA,Other
Arbys,Chicken Tender 'n Cheese Slider,slider,chicken,none,290,110,12,3.5,0,25,720,30,1,1,15,NA,NA,NA,Other
Arbys,Corned Beef 'n Cheese Slider,slider,beef,none,220,80,9,3.5,0,30,890,21,1,1,14,NA,NA,NA,Other
Arbys,Ham 'n Cheese Slider,slider,pork,none,210,70,8,3,0,25,780,21,1,2,13,NA,NA,NA,Other
Arbys,Jalapeno Roast Beef 'n Cheese Slider,slider,beef,none,240,90,11,4.5,0,30,670,21,1,1,14,NA,NA,NA,Other
Arbys,Pizza Slider,slider,other,none,300,150,17,6,0,35,930,23,1,2,13,NA,NA,NA,Other
Arbys,Roast Beef 'n Cheese Slider,slider,beef,none,240,90,11,4.5,0,30,670,21,1,1,14,NA,NA,NA,Other
Arbys,Turkey 'n Cheese Slider,slider,turkey,small,200,60,7,2.5,0,25,760,21,1,2,14,NA,NA,NA,Other
Arbys,Chopped Side Salad,salad,salad,none,70,45,5,2.5,0,15,100,4,1,2,5,35,10,10,Other
Arbys,Crispy Chicken Farmhouse Salad,salad,salad,chicken,430,220,24,8,0,65,1000,26,4,4,28,60,20,25,Other
Arbys,Greek Gyro Salad,salad,salad,none,420,340,37,9,0,55,700,11,2,4,10,NA,NA,NA,Other
Arbys,Roast Turkey Farmhouse Salad,salad,salad,turkey,230,120,13,7,0,55,870,8,2,5,22,60,20,25,Other
Arbys,Super Greek Salad,salad,salad,none,720,480,53,15,0,85,1310,39,5,7,22,NA,NA,NA,Other
Burger King,American Brewhouse King,cheeseburger,beef,doublebacon,1550,1134,126,47,8,805,1820,21,3,7,134,NA,NA,NA,Other
Burger King,Bacon & Swiss Sourdough King,cheeseburger,beef,bacon,1000,585,65,24,3,200,1320,48,2,8,56,NA,NA,NA,Other
Burger King,Bacon Cheeseburger,cheeseburger,beef,bacon,330,140,16,7,0,55,830,32,1,7,18,NA,NA,NA,Other
Burger King,Bacon Cheeseburger Deluxe,cheeseburger,beef,bacon,290,120,14,6,0.5,40,720,28,1,7,12,NA,NA,NA,Other
Burger King,Bacon King,burger,beef,bacon,1040,630,48,28,2.5,220,1900,48,1,10,57,NA,NA,NA,Other
Burger King,Bacon King Jr,burger,beef,bacon,730,351,39,9,0,90,1930,63,0,16,32,NA,NA,NA,Other
Burger King,BBQ Bacon King,burger,beef,bacon,1100,675,75,29,3,220,1850,51,NA,13,57,NA,NA,NA,Other
Burger King,Cheeseburger,cheeseburger,beef,none,300,130,14,6,0,45,710,28,1,6,16,NA,NA,NA,Other
Burger King,Double Bacon Cheeseburger,cheeseburger,beef,doublebacon,520,280,31,14,1,105,1180,33,1,8,31,NA,NA,NA,Other
Burger King,Double Cheeseburger,cheeseburger,beef,double,450,230,26,12,1,95,960,29,1,6,26,NA,NA,NA,Other
Burger King,Double Hamburger,burger,beef,double,360,160,18,8,0,70,520,28,1,6,22,NA,NA,NA,Other
Burger King,Double Quarter Pound King,cheeseburger,beef,double,900,486,54,25,3,210,1740,50,2,11,56,NA,NA,NA,Other
Burger King,Extra Long Cheeseburger,cheeseburger,beef,none,580,300,33,13,1.5,85,1030,45,2,9,26,NA,NA,NA,Other
Burger King,Farmhouse King,cheeseburger,beef,doublebacon,1220,720,80,28,3,335,2050,62,NA,15,NA,NA,NA,NA,Other
Burger King,Hamburger,burger,beef,none,260,90,10,4,0,35,490,28,1,6,13,NA,NA,NA,Other
Burger King,Homestyle Cheeseburger,cheeseburger,beef,none,550,250,27,12,1.5,95,1140,48,2,10,30,NA,NA,NA,Other
